paper_key	claim_key	target_label	comparison_label	comparison_curie	provenance	exact	target_key
biorxiv:9c7f8281-6c21-1014-a6df-b6c543b29cb8	biorxiv:9c7f8281-6c21-1014-a6df-b6c543b29cb8:claim:8180e44540e565c9106f	antibody-secreting cell	B cell	CL:0000236	explicit	1.0	antibody secreting cell
biorxiv:9d923a25-6c34-1014-a848-e326c14e92ee	biorxiv:9d923a25-6c34-1014-a848-e326c14e92ee:claim:e3f9a0062a8f6ae14f7c	ALDH+CD44+CD24− cell	ALDH+ non-CD44+CD24− cell		explicit		aldh cd44 cd24 cell
biorxiv:9d923a25-6c34-1014-a848-e326c14e92ee	biorxiv:9d923a25-6c34-1014-a848-e326c14e92ee:claim:ef56742b35c9db75d995	ALDH+ cell	CD24+ cell		implicit		aldh cell
biorxiv:9df09f81-6df1-1014-bd96-ce3556dd2289	biorxiv:9df09f81-6df1-1014-bd96-ce3556dd2289:claim:1bb05d5c252d29bd9376	neuronal cell	endothelial cell	CL:0000115	explicit	1.0	neuronal cell
biorxiv:9df09f81-6df1-1014-bd96-ce3556dd2289	biorxiv:9df09f81-6df1-1014-bd96-ce3556dd2289:claim:5ad8bf3ceb69243f5ae4	endothelial cell	neuronal cell	CL:0000540	explicit	1.0	endothelial cell
biorxiv:9df09f81-6df1-1014-bd96-ce3556dd2289	biorxiv:9df09f81-6df1-1014-bd96-ce3556dd2289:claim:897284bf5585d50bc6ce	smooth muscle cell	endothelial cell	CL:0000115	explicit	1.0	smooth muscle cell
biorxiv:9df09f81-6df1-1014-bd96-ce3556dd2289	biorxiv:9df09f81-6df1-1014-bd96-ce3556dd2289:claim:b75279969263a33879a2	pericyte	endothelial cell	CL:0000115	explicit	1.0	pericyte
biorxiv:9df09f81-6df1-1014-bd96-ce3556dd2289	biorxiv:9df09f81-6df1-1014-bd96-ce3556dd2289:claim:f85156decab9e9878ffc	neuronal cell	endothelial cell	CL:0000115	explicit	1.0	neuronal cell
biorxiv:9e5c18fc-76e5-1014-9f81-96148d260e0f	biorxiv:9e5c18fc-76e5-1014-9f81-96148d260e0f:claim:0a69d1811f7933b85ac0	CD57-positive T cell	healthy donor T cell	CL:0000084	explicit	0.0	cd57 positive t cell
biorxiv:9e5c18fc-76e5-1014-9f81-96148d260e0f	biorxiv:9e5c18fc-76e5-1014-9f81-96148d260e0f:claim:a536e7cefb9159af9e64	glioblastoma negative prognostic cell	other cell		explicit		glioblastoma negative prognostic cell
biorxiv:9ea3f9c1-6d62-1014-8a0f-e0eee23ad569	biorxiv:9ea3f9c1-6d62-1014-8a0f-e0eee23ad569:claim:aa0618817544aa1b7f31	double negative mucosal associated invariant T cell	CD8 mucosal associated invariant T cell	CL:0000084	explicit	0.0	double negative mucosal associated invariant t cell
biorxiv:a0900ed8-7609-1014-846c-dd411913591f	biorxiv:a0900ed8-7609-1014-846c-dd411913591f:claim:3d9ea916397f858b9ee6	CD34-positive vascular endothelial cell	CD34-positive telocyte	CL:0017004	explicit	0.0	cd34 positive vascular endothelial cell
biorxiv:a0900ed8-7609-1014-846c-dd411913591f	biorxiv:a0900ed8-7609-1014-846c-dd411913591f:claim:c2b4cdaa79edb5edd399	CD34-negative lymphatic endothelial cell	CD34-positive vascular endothelial cell	CL:0000071	explicit	0.0	cd34 negative lymphatic endothelial cell
biorxiv:a4dfbfd9-7f07-1014-9596-9cebe6ee6cbb	biorxiv:a4dfbfd9-7f07-1014-9596-9cebe6ee6cbb:claim:adbd3425ef64c40652f9	CD4 naïve T cell	CD4 effector memory T cell		explicit		cd4 naïve t cell
biorxiv:a4dfbfd9-7f07-1014-9596-9cebe6ee6cbb	biorxiv:a4dfbfd9-7f07-1014-9596-9cebe6ee6cbb:claim:b225706bf5c22ab3f262	CD4 effector memory T cell	CD4 naïve T cell	CL:0000084	explicit	0.0	cd4 effector memory t cell
biorxiv:a63583e3-6c7b-1014-a201-b82bec671474	biorxiv:a63583e3-6c7b-1014-a201-b82bec671474:claim:70d0e1e1b8e6ba0395f9	definitive zone cell	fetal zone cell		explicit		definitive zone cell
biorxiv:a83150af-6e3c-1014-8107-a71f7784ca4d	biorxiv:a83150af-6e3c-1014-8107-a71f7784ca4d:claim:7f304210b709946baf4a	macular retinal pigment epithelium	peripheral retinal pigment epithelium		explicit		macular retinal pigment epithelium
biorxiv:a83150af-6e3c-1014-8107-a71f7784ca4d	biorxiv:a83150af-6e3c-1014-8107-a71f7784ca4d:claim:d75f3787e39f78b3d162	peripheral retinal pigment epithelium	macular retinal pigment epithelium		explicit		peripheral retinal pigment epithelium
biorxiv:a9567cc0-6e50-1014-9a45-a24404db0d1a	biorxiv:a9567cc0-6e50-1014-9a45-a24404db0d1a:claim:3214e53f3fce846c4d40	gastric intraductal papillary mucinous neoplasm cell	intestinal intraductal papillary mucinous neoplasm cell		explicit		gastric intraductal papillary mucinous neoplasm cell
biorxiv:a9567cc0-6e50-1014-9a45-a24404db0d1a	biorxiv:a9567cc0-6e50-1014-9a45-a24404db0d1a:claim:3214e53f3fce846c4d40	gastric intraductal papillary mucinous neoplasm cell	pancreaticobiliary intraductal papillary mucinous neoplasm cell		explicit		gastric intraductal papillary mucinous neoplasm cell
biorxiv:a96dba70-6cf7-1014-a294-bf2ca6d364a0	biorxiv:a96dba70-6cf7-1014-a294-bf2ca6d364a0:claim:48c23c1a6a200bb21b85	myxoid liposarcoma cell cluster 2	myxoid liposarcoma cell cluster 3		implicit		myxoid liposarcoma cell cluster 2
biorxiv:a96dba70-6cf7-1014-a294-bf2ca6d364a0	biorxiv:a96dba70-6cf7-1014-a294-bf2ca6d364a0:claim:9eb5cb0e929e7515f3ff	circulating tumor cell cluster 3	circulating tumor cell cluster 4		explicit		circulating tumor cell cluster 3
biorxiv:a96dba70-6cf7-1014-a294-bf2ca6d364a0	biorxiv:a96dba70-6cf7-1014-a294-bf2ca6d364a0:claim:deb56a68f5ec421f1ca8	circulating tumor cell cluster 3	circulating tumor cell cluster 4		explicit		circulating tumor cell cluster 3
biorxiv:ab05f819-6c04-1014-81aa-9646e853264a	biorxiv:ab05f819-6c04-1014-81aa-9646e853264a:claim:5803770cfe996a431aa1	myeloid dendritic cell	B cell	CL:0000236	explicit	1.0	myeloid dendritic cell
biorxiv:ab05f819-6c04-1014-81aa-9646e853264a	biorxiv:ab05f819-6c04-1014-81aa-9646e853264a:claim:6e6322e2cefe5998608b	T cell	natural killer cell	CL:0000623	explicit	1.0	t cell
biorxiv:ab05f819-6c04-1014-81aa-9646e853264a	biorxiv:ab05f819-6c04-1014-81aa-9646e853264a:claim:9e6b43aa315963b59867	B cell	myeloid dendritic cell	CL:0000782	explicit	1.0	b cell
biorxiv:ae5f009e-6d7a-1014-8ed6-cd1c0d2e0ada	biorxiv:ae5f009e-6d7a-1014-8ed6-cd1c0d2e0ada:claim:c154527624e7f5e2105c	CD8+ T cell	healthy control/other neuroinflammatory disorder participant		explicit		cd8 t cell
biorxiv:b01f00d1-6e6e-1014-8e4a-e846f4b1debe	biorxiv:b01f00d1-6e6e-1014-8e4a-e846f4b1debe:claim:d25d7f09e7d724620d03	Cluster-4 fibroblast	Cluster-3 fibroblast	CL:0000057	explicit	0.0	cluster 4 fibroblast
biorxiv:b3e65ef0-6e38-1014-8f8f-a6ec49a73092	biorxiv:b3e65ef0-6e38-1014-8f8f-a6ec49a73092:claim:681b050c8f71dc8846ee	monocyte	M1 macrophage	CL:0000235	explicit	1.0	monocyte
biorxiv:b71d9b5e-6f1d-1014-9408-ec8c7da502b4	biorxiv:b71d9b5e-6f1d-1014-9408-ec8c7da502b4:claim:6f89bee2114ffb689fbf	prostate cancer epithelial cell	benign gland cell		explicit		prostate cancer epithelial cell
biorxiv:b7d0eaf3-6f9e-1014-bc01-ef7867d59c7e	biorxiv:b7d0eaf3-6f9e-1014-bc01-ef7867d59c7e:claim:6de8b1f90af611c2ca5e	tumor-associated neutrophil	blood neutrophil		explicit		tumor associated neutrophil
biorxiv:b88cbe76-6c0b-1014-a018-e498be98267a	biorxiv:b88cbe76-6c0b-1014-a018-e498be98267a:claim:3408e6ebe1cf1b743a31	M1 macrophage	M2a and M2c macrophage	CL:0000235	explicit	0.0	m1 macrophage
biorxiv:bc260922-6c47-1014-a865-fe4e19bf3ea8	biorxiv:bc260922-6c47-1014-a865-fe4e19bf3ea8:claim:0a10ed4a78e3d9727695	Spinous2	Spinous1		explicit		spinous2
biorxiv:bc260922-6c47-1014-a865-fe4e19bf3ea8	biorxiv:bc260922-6c47-1014-a865-fe4e19bf3ea8:claim:50623fea442504335e42	Follicular2	Follicular1		explicit		follicular2
biorxiv:bc260922-6c47-1014-a865-fe4e19bf3ea8	biorxiv:bc260922-6c47-1014-a865-fe4e19bf3ea8:claim:d3224380698bab808c46	Basal2	Basal1		explicit		basal2
biorxiv:bc60e3db-6f3b-1014-9d48-bca06f1504df	biorxiv:bc60e3db-6f3b-1014-9d48-bca06f1504df:claim:28971808d59b95065875	duct cell	dedifferentiated acinar cell	CL:0000622	explicit	0.0	duct cell
biorxiv:bc60e3db-6f3b-1014-9d48-bca06f1504df	biorxiv:bc60e3db-6f3b-1014-9d48-bca06f1504df:claim:c0e8b2ecb8ccc6651837	duct cell	dedifferentiated acinar cell	CL:0000622	explicit	0.0	duct cell
biorxiv:bc60e3db-6f3b-1014-9d48-bca06f1504df	biorxiv:bc60e3db-6f3b-1014-9d48-bca06f1504df:claim:c43fb06afd32032c5a3f	dedifferentiated acinar cell	duct cell		explicit		dedifferentiated acinar cell
biorxiv:bc60e3db-6f3b-1014-9d48-bca06f1504df	biorxiv:bc60e3db-6f3b-1014-9d48-bca06f1504df:claim:d8e7000abe5eaa5515d8	dedifferentiated acinar cell	native duct cell		explicit		dedifferentiated acinar cell
biorxiv:bc60e3db-6f3b-1014-9d48-bca06f1504df	biorxiv:bc60e3db-6f3b-1014-9d48-bca06f1504df:claim:f28f0e6b11bb133e9c96	native duct cell	dedifferentiated acinar cell	CL:0000622	explicit	0.0	native duct cell
biorxiv:bd0ff218-6c18-1014-ac36-a01faa0bb6b7	biorxiv:bd0ff218-6c18-1014-ac36-a01faa0bb6b7:claim:22e61fdef8b50d929daa	CD8-derived double-positive T cell	single-positive T cell	CL:0000084	explicit	0.0	cd8 derived double positive t cell
biorxiv:bd0ff218-6c18-1014-ac36-a01faa0bb6b7	biorxiv:bd0ff218-6c18-1014-ac36-a01faa0bb6b7:claim:7472390ac5ac9d02874a	CD4-derived double-positive T cell	single-positive T cell	CL:0000084	explicit	0.0	cd4 derived double positive t cell
biorxiv:c55f45c7-7001-1014-966f-865cda24634e	biorxiv:c55f45c7-7001-1014-966f-865cda24634e:claim:0f34106084619ec42ec2	fibroblast	other major cell types		explicit		fibroblast
biorxiv:c704e998-6f4b-1014-8cb1-c3d28b577fb8	biorxiv:c704e998-6f4b-1014-8cb1-c3d28b577fb8:claim:5dce8da6bddad74efdca	distal tip epithelial cell	proximal branching epithelial cell	CL:0000066	explicit	0.0	distal tip epithelial cell
biorxiv:c78d9bda-6cc0-1014-aba5-dba9dd700073	biorxiv:c78d9bda-6cc0-1014-aba5-dba9dd700073:claim:211a5992a75bf2422eb3	therapy-grade corneal endothelial cell	senescent and fibrotic corneal endothelial cell	CL:0000132	explicit	0.0	therapy grade corneal endothelial cell
biorxiv:c78d9bda-6cc0-1014-aba5-dba9dd700073	biorxiv:c78d9bda-6cc0-1014-aba5-dba9dd700073:claim:bd8ceffbeaf191c41c73	low quality corneal endothelial cell	high quality corneal endothelial cell	CL:0000132	explicit	0.0	low quality corneal endothelial cell
biorxiv:c78d9bda-6cc0-1014-aba5-dba9dd700073	biorxiv:c78d9bda-6cc0-1014-aba5-dba9dd700073:claim:bdc88c4738c241e10532	fibrotic corneal endothelial cell cluster C5	therapy-grade corneal endothelial cell	CL:0000132	explicit	0.0	fibrotic corneal endothelial cell cluster c5
biorxiv:c78d9bda-6cc0-1014-aba5-dba9dd700073	biorxiv:c78d9bda-6cc0-1014-aba5-dba9dd700073:claim:f11b6f681dd5657f1cb8	good quality corneal endothelial cell	lower quality corneal endothelial cell	CL:0000132	explicit	0.0	good quality corneal endothelial cell
biorxiv:caef9c14-6e13-1014-bca1-ba3172fec7b3	biorxiv:caef9c14-6e13-1014-bca1-ba3172fec7b3:claim:c15c67f2d81de6371726	Mesenchymal-like cell	cancer-associated fibroblast		explicit		mesenchymal like cell
biorxiv:cc41b42e-6c00-1014-9887-9bb7d49b64ad	biorxiv:cc41b42e-6c00-1014-9887-9bb7d49b64ad:claim:5503ef3ca08e679bad7d	syncytiotrophoblast	cytotrophoblast		explicit		syncytiotrophoblast
biorxiv:cc41b42e-6c00-1014-9887-9bb7d49b64ad	biorxiv:cc41b42e-6c00-1014-9887-9bb7d49b64ad:claim:5503ef3ca08e679bad7d	syncytiotrophoblast	extravillous cytotrophoblast		explicit		syncytiotrophoblast
biorxiv:cf0d429c-6c7f-1014-a5a8-f09b6915373d	biorxiv:cf0d429c-6c7f-1014-a5a8-f09b6915373d:claim:af36cf9da2309082e579	B cell	plasma cell	CL:0000786	explicit	1.0	b cell
biorxiv:cf0d429c-6c7f-1014-a5a8-f09b6915373d	biorxiv:cf0d429c-6c7f-1014-a5a8-f09b6915373d:claim:e0421a171b02c2aa63ae	plasma cell	B cell	CL:0000236	explicit	1.0	plasma cell
biorxiv:d00e7bca-700f-1014-91f0-ae4c53ddfbf4	biorxiv:d00e7bca-700f-1014-91f0-ae4c53ddfbf4:claim:3234678575ce85769bc2	prostate adenocarcinoma	neuroendocrine prostate cancer		explicit		prostate adenocarcinoma
biorxiv:d00e7bca-700f-1014-91f0-ae4c53ddfbf4	biorxiv:d00e7bca-700f-1014-91f0-ae4c53ddfbf4:claim:68f2c7a10a2b8a172e28	NEUROD1-positive neuroendocrine prostate cancer	ASCL1-positive neuroendocrine prostate cancer		explicit		neurod1 positive neuroendocrine prostate cancer
biorxiv:d00e7bca-700f-1014-91f0-ae4c53ddfbf4	biorxiv:d00e7bca-700f-1014-91f0-ae4c53ddfbf4:claim:a46a9e68e3f2bdbe367f	high-grade carcinoma	neuroendocrine prostate cancer		explicit		high grade carcinoma
biorxiv:d00e7bca-700f-1014-91f0-ae4c53ddfbf4	biorxiv:d00e7bca-700f-1014-91f0-ae4c53ddfbf4:claim:ab1fb4fbc4fcebedc42a	neuroendocrine prostate cancer	prostate adenocarcinoma		explicit		neuroendocrine prostate cancer
biorxiv:d00e7bca-700f-1014-91f0-ae4c53ddfbf4	biorxiv:d00e7bca-700f-1014-91f0-ae4c53ddfbf4:claim:aec9f4cfdb563fc65c5f	high-grade carcinoma	neuroendocrine prostate cancer		explicit		high grade carcinoma
biorxiv:d00e7bca-700f-1014-91f0-ae4c53ddfbf4	biorxiv:d00e7bca-700f-1014-91f0-ae4c53ddfbf4:claim:fd879fb071c48fc130e9	neuroendocrine prostate cancer	prostate adenocarcinoma		explicit		neuroendocrine prostate cancer
biorxiv:d00e7bca-700f-1014-91f0-ae4c53ddfbf4	biorxiv:d00e7bca-700f-1014-91f0-ae4c53ddfbf4:claim:fe9f85c6f1b02d177c9b	prostate adenocarcinoma	neuroendocrine prostate cancer		explicit		prostate adenocarcinoma
biorxiv:d30d2651-6c1b-1014-8313-dcecc093f4ce	biorxiv:d30d2651-6c1b-1014-8313-dcecc093f4ce:claim:ac9ecdc969733212b4d4	exhausted T cell	cytotoxic T cell	CL:0000910	explicit	1.0	exhausted t cell
biorxiv:d95d7dc6-6c35-1014-b1f0-b4af8a20948e	biorxiv:d95d7dc6-6c35-1014-b1f0-b4af8a20948e:claim:00b236063c6bbe196f19	LGR5-positive adenoma cell	normal colon		explicit		lgr5 positive adenoma cell
biorxiv:d95d7dc6-6c35-1014-b1f0-b4af8a20948e	biorxiv:d95d7dc6-6c35-1014-b1f0-b4af8a20948e:claim:a8c360d80e46e7aa047e	LGR5-positive normal colon cell	LGR5-negative cell		explicit		lgr5 positive normal colon cell
biorxiv:d95eb71e-714d-1014-9dc7-c3da2c2efb45	biorxiv:d95eb71e-714d-1014-9dc7-c3da2c2efb45:claim:de9185db8f42f1397d67	GD2-low disseminated tumor cell	GD2-high disseminated tumor cell		explicit		gd2 low disseminated tumor cell
biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013:claim:2de3f07f6dd7600cc921	monocyte	other immune cell	CL:0000738	explicit	0.0	monocyte
biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013:claim:fb8e22e2142b87cb177c	granulocyte	other immune cell	CL:0000738	explicit	0.0	granulocyte
biorxiv:dcc4f18b-6c19-1014-8ffb-d4dccdf6774b	biorxiv:dcc4f18b-6c19-1014-8ffb-d4dccdf6774b:claim:363655fc20dbba448ea4	tumor cell	non-tumor cell	CL:0001063	explicit	0.0	tumor cell
biorxiv:de6d33dd-734f-1014-a302-e21bedf0ba65	biorxiv:de6d33dd-734f-1014-a302-e21bedf0ba65:claim:88bb525c7e5dc712873f	CD4+ monocyte	CD4+CD3+ T cell	CL:0000084	explicit	0.0	cd4 monocyte
biorxiv:de6d33dd-734f-1014-a302-e21bedf0ba65	biorxiv:de6d33dd-734f-1014-a302-e21bedf0ba65:claim:ed1879512ee6367bd9dd	CD4+CD3+ T cell	CD4+ monocyte	CL:0000576	explicit	0.0	cd4 cd3 t cell
biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d:claim:6a43e05affc92b5daeaa	suppressive regulatory T cell subcluster Treg.2	naive regulatory T cell subcluster Treg.1	CL:0002677	explicit	0.0	suppressive regulatory t cell subcluster treg 2
biorxiv:e3c88c7c-7fe3-1014-8c3f-f97dd191bd5b	biorxiv:e3c88c7c-7fe3-1014-8c3f-f97dd191bd5b:claim:0e9701f578e9421bd979	pancreatic stellate cell	pancreatic ductal tumor cell	CL:0001063	explicit	0.0	pancreatic stellate cell
biorxiv:e3c88c7c-7fe3-1014-8c3f-f97dd191bd5b	biorxiv:e3c88c7c-7fe3-1014-8c3f-f97dd191bd5b:claim:519dbabbedd7be980f07	pancreatic ductal tumor cell	pancreatic stellate cell	CL:0002410	explicit	1.0	pancreatic ductal tumor cell
biorxiv:e3c88c7c-7fe3-1014-8c3f-f97dd191bd5b	biorxiv:e3c88c7c-7fe3-1014-8c3f-f97dd191bd5b:claim:ef49501c43e2c0039d32	inflammatory cancer-associated fibroblast	myofibroblastic cancer-associated fibroblast		explicit		inflammatory cancer associated fibroblast
biorxiv:e41f3b4d-7312-1014-8c3d-9c868a469aab	biorxiv:e41f3b4d-7312-1014-8c3d-9c868a469aab:claim:0fbe0293ade40f2a1e27	type 1 regulatory T cell	memory CD4+ T cell	CL:0000084	explicit	0.0	type 1 regulatory t cell
biorxiv:e41f3b4d-7312-1014-8c3d-9c868a469aab	biorxiv:e41f3b4d-7312-1014-8c3d-9c868a469aab:claim:84e445aa96cad496e085	type 1 regulatory T cell	regulatory T cell	CL:0000815	explicit	1.0	type 1 regulatory t cell
biorxiv:e6391442-6c81-1014-9943-822578d46439	biorxiv:e6391442-6c81-1014-9943-822578d46439:claim:6c7083d5b16a1331d132	neurogenic cell	retinal progenitor cell	CL:0002672	explicit	1.0	neurogenic cell
biorxiv:e6391442-6c81-1014-9943-822578d46439	biorxiv:e6391442-6c81-1014-9943-822578d46439:claim:88effbb9df1b22e72e75	neurogenic cell	retinal progenitor cell	CL:0002672	explicit	1.0	neurogenic cell
biorxiv:e6e04172-6c15-1014-9229-c57ac33d21f6	biorxiv:e6e04172-6c15-1014-9229-c57ac33d21f6:claim:1855a2230d10d0cbeb7c	B cell	T cell	CL:0000084	explicit	1.0	b cell
biorxiv:e6e04172-6c15-1014-9229-c57ac33d21f6	biorxiv:e6e04172-6c15-1014-9229-c57ac33d21f6:claim:865a66e88c2be69c541a	T cell	B cell	CL:0000236	explicit	1.0	t cell
biorxiv:e8350987-7003-1014-ae7a-192d8e5e2a06	biorxiv:e8350987-7003-1014-ae7a-192d8e5e2a06:claim:2e54bca1320cb2087196	cardiac progenitor of the first heart field	epicardial progenitor	CL:0011020	explicit	0.0	cardiac progenitor of the first heart field
biorxiv:e91c125a-709d-1014-bc43-9d192767cd15	biorxiv:e91c125a-709d-1014-bc43-9d192767cd15:claim:9c699bc97d034812e1dd	senescent alveolar type 2 cell	senescent fibroblast	CL:0000057	explicit	0.0	senescent alveolar type 2 cell
biorxiv:e91c125a-709d-1014-bc43-9d192767cd15	biorxiv:e91c125a-709d-1014-bc43-9d192767cd15:claim:c5cc0e5fb45f34aca4d0	senescent basal cell	senescent fibroblast	CL:0000057	explicit	0.0	senescent basal cell
biorxiv:e9d73630-745a-1014-825d-9281d616c32c	biorxiv:e9d73630-745a-1014-825d-9281d616c32c:claim:7b6dd338ffbe26508cfc	RSeT human embryonic stem cell	naïve epiblast cell	CL:0000352	explicit	0.0	rset human embryonic stem cell
biorxiv:ebaf49e5-7438-1014-8951-c3e925f71d14	biorxiv:ebaf49e5-7438-1014-8951-c3e925f71d14:claim:020afdae7d9b81ad668e	Shared CD14+ monocyte	Control CD14+ monocyte	CL:0000576	implicit	0.0	shared cd14 monocyte
biorxiv:ebaf49e5-7438-1014-8951-c3e925f71d14	biorxiv:ebaf49e5-7438-1014-8951-c3e925f71d14:claim:c9d5f000d3cb1050f729	Lupus-Dominant CD14+ monocyte	Shared CD14+ monocyte	CL:0000576	implicit	0.0	lupus dominant cd14 monocyte
biorxiv:ebaf49e5-7438-1014-8951-c3e925f71d14	biorxiv:ebaf49e5-7438-1014-8951-c3e925f71d14:claim:d09eca0c481d77fd4ebf	Shared CD14+ monocyte	Lupus-Dominant CD14+ monocyte	CL:0000576	implicit	0.0	shared cd14 monocyte
biorxiv:ebaf49e5-7438-1014-8951-c3e925f71d14	biorxiv:ebaf49e5-7438-1014-8951-c3e925f71d14:claim:d13d2a629b28f98e1cea	Lupus-Dominant CD14+ monocyte	Control CD14+ monocyte	CL:0000576	implicit	0.0	lupus dominant cd14 monocyte
biorxiv:f1a588ac-746e-1014-a4d0-f5cc921ee68b	biorxiv:f1a588ac-746e-1014-a4d0-f5cc921ee68b:claim:0d5107e0c5acb58abf07	hematopoietic stem cell	mature hematopoietic progenitor cell	CL:0000037	explicit	0.0	hematopoietic stem cell
biorxiv:f787a6d9-6ce3-1014-a3f6-a662a1333571	biorxiv:f787a6d9-6ce3-1014-a3f6-a662a1333571:claim:17e531a49b6ea986e632	interstitial macrophage	dendritic cell	CL:0000451	explicit	1.0	interstitial macrophage
biorxiv:f787a6d9-6ce3-1014-a3f6-a662a1333571	biorxiv:f787a6d9-6ce3-1014-a3f6-a662a1333571:claim:1fb80062dfa5ddd6ae27	lung and lymph node dendritic cell	blood dendritic cell	CL:0000451	explicit	0.0	lung and lymph node dendritic cell
biorxiv:f787a6d9-6ce3-1014-a3f6-a662a1333571	biorxiv:f787a6d9-6ce3-1014-a3f6-a662a1333571:claim:491bc15906aca9263d76	alveolar macrophage	dendritic cell	CL:0000451	explicit	1.0	alveolar macrophage
biorxiv:f787a6d9-6ce3-1014-a3f6-a662a1333571	biorxiv:f787a6d9-6ce3-1014-a3f6-a662a1333571:claim:89c243e88d15690c8c97	monocyte	dendritic cell	CL:0000451	explicit	1.0	monocyte
biorxiv:f787a6d9-6ce3-1014-a3f6-a662a1333571	biorxiv:f787a6d9-6ce3-1014-a3f6-a662a1333571:claim:bfa28aa89deaa178a121	macrophage	dendritic cell	CL:0000451	explicit	1.0	macrophage
biorxiv:f787a6d9-6ce3-1014-a3f6-a662a1333571	biorxiv:f787a6d9-6ce3-1014-a3f6-a662a1333571:claim:c5cc53a97fb549635ef0	blood dendritic cell	tissue dendritic cell	CL:0000451	explicit	0.0	blood dendritic cell
biorxiv:f787a6d9-6ce3-1014-a3f6-a662a1333571	biorxiv:f787a6d9-6ce3-1014-a3f6-a662a1333571:claim:d1a6e66a1575043ef897	tissue monocyte	dendritic cell	CL:0000451	explicit	1.0	tissue monocyte
biorxiv:fc7595eb-733c-1014-9892-ed444a916a2a	biorxiv:fc7595eb-733c-1014-9892-ed444a916a2a:claim:a38f6d3405ee4ab36d32	tolerogenic dendritic cell	type 3 innate lymphoid cell	CL:0001065	explicit	0.0	tolerogenic dendritic cell
biorxiv:fcdb6ae7-74e0-1014-aa4b-bcf60c40c2cf	biorxiv:fcdb6ae7-74e0-1014-aa4b-bcf60c40c2cf:claim:e325d6fd4e07cd8d0974	GABAergic neuron	dopaminergic neuron	CL:0000700	explicit	1.0	gabaergic neuron
biorxiv:fcdb6ae7-74e0-1014-aa4b-bcf60c40c2cf	biorxiv:fcdb6ae7-74e0-1014-aa4b-bcf60c40c2cf:claim:ee1e36c697f225731ff0	dopaminergic neuron	GABAergic neuron	CL:0000617	explicit	1.0	dopaminergic neuron
biorxiv:fcdb6ae7-74e0-1014-aa4b-bcf60c40c2cf	biorxiv:fcdb6ae7-74e0-1014-aa4b-bcf60c40c2cf:claim:f2959e31f429fda66e3d	DA_SOX6 dopaminergic neuron	dopaminergic neuron	CL:0000700	explicit	1.0	da_sox6 dopaminergic neuron
biorxiv:fcdb6ae7-74e0-1014-aa4b-bcf60c40c2cf	biorxiv:fcdb6ae7-74e0-1014-aa4b-bcf60c40c2cf:claim:fac4924779e774a248f7	glutamatergic neuron	dopaminergic neuron	CL:0000700	explicit	1.0	glutamatergic neuron
biorxiv:fcdb6ae7-74e0-1014-aa4b-bcf60c40c2cf	biorxiv:fcdb6ae7-74e0-1014-aa4b-bcf60c40c2cf:claim:fbb72e0b8dee0a7cdab7	immature neuron	glutamatergic neuron	CL:0000679	explicit	1.0	immature neuron
biorxiv:fd4da487-6bfd-1014-9109-ef3323dd2b7b	biorxiv:fd4da487-6bfd-1014-9109-ef3323dd2b7b:claim:dc9dcd95db54c30767fa	Ptx3-lymphatic endothelial cell	Marco-lymphatic endothelial cell	CL:0000115	explicit	0.0	ptx3 lymphatic endothelial cell
hca:0002_10.1038_s41586-019-1373-2_de5bb9e220	hca:0002_10.1038_s41586-019-1373-2_de5bb9e220:claim:20b98b316741e3ef1a02	hepatocellular carcinoma endothelial cell	liver sinusoidal endothelial cell	CL:1000398	explicit	1.0	hepatocellular carcinoma endothelial cell
hca:0002_10.1038_s41586-019-1373-2_de5bb9e220	hca:0002_10.1038_s41586-019-1373-2_de5bb9e220:claim:9c5160ffad8a2143a8c9	liver sinusoidal endothelial cell	periportal population		explicit		liver sinusoidal endothelial cell
hca:0008_10.1016_j.cels.2016.09.002_fd6b21337a	hca:0008_10.1016_j.cels.2016.09.002_fd6b21337a:claim:63f8d1d1df68727e9b53	alpha cell	beta cell	CL:0000168	explicit	1.0	alpha cell
hca:0011_10.1038_s41413-021-00163-z_07f1a1af96	hca:0011_10.1038_s41413-021-00163-z_07f1a1af96:claim:492bae868354e4e1072c	nucleus pulposus progenitor cell subcluster 3	nucleus pulposus progenitor cell subcluster 4	CL:0000837	explicit	0.0	nucleus pulposus progenitor cell subcluster 3
hca:0011_10.1038_s41413-021-00163-z_07f1a1af96	hca:0011_10.1038_s41413-021-00163-z_07f1a1af96:claim:bfdd65b488beccf1f648	nucleus pulposus progenitor cell subcluster 1	nucleus pulposus progenitor cell subcluster 4	CL:0000837	explicit	0.0	nucleus pulposus progenitor cell subcluster 1
hca:0011_10.1038_s41413-021-00163-z_07f1a1af96	hca:0011_10.1038_s41413-021-00163-z_07f1a1af96:claim:e4da218abe7f7a0b4283	nucleus pulposus progenitor cell subcluster 2	nucleus pulposus progenitor cell subcluster 4	CL:0000837	explicit	0.0	nucleus pulposus progenitor cell subcluster 2
